race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_win_value,Horse_starting_box_no,horse_rate,horse_race_degree_seconds
2024-01-24,Şanlıurfa,8,12,KAMALİYA,DB SKG SK,3,f,SUPER SAVER (USA)- MISS IRONARM / LION HEART (USA),super saver (usa),miss ironarm,LION HEART (USA),55,mehmet emi̇n doğan,ERKAN YILDIRIM,murat altin,19.25,3,31,83.55
2024-01-25,İzmir,1,1,LIKE THE STARS,DB SK,6,m,LION HEART (USA)- BEYOND CLOUDES / EAGLE EYED (USA),lion heart (usa),beyond cloudes,EAGLE EYED (USA),56,muhammed mi̇r bi̇lgi̇n,GÜNGÖR AÇİCİ,gökhan er,1.2,5,94,101.75
2024-01-25,İzmir,1,2,LION SONG,KG K DB,5,m,LION HEART (USA)- BESTOWAL (USA) / UNBRIDLED'S SONG (USA),lion heart (usa),bestowal (usa),UNBRIDLED'S SONG (USA),57,erhan aktuğ,İLKNUR KORKUT,mehmet kaya,7.8,2,78,102.52
2024-01-25,İzmir,1,3,GUTSHOT,KG K DB,4,m,MALİ- LADY SMITH / PERFECT STORM,mali̇,lady smith,PERFECT STORM,54,i̇brahi̇m sefa söğüt,ÇAĞDAŞ CAN ÇUBUKÇU,cengi̇z teki̇n köse,10.7,4,67,102.97
2024-01-25,İzmir,1,4,MINIGUN,KG,6,m,THREE VALLEYS (USA)- STILL LOVIN YOU / LION HEART (USA),three valleys (usa),still lovin you,LION HEART (USA),60,gökhan gökçe,SÜLEYMAN AKGÜMÜŞ,mehmet güdücü,4.55,6,89,104.33
2024-01-25,İzmir,1,5,MATRIX,DB SK,5,m,TORUK MACTO (IRE)- LIGHT BLUE / ALWAYS A CLASSIC (CAN),toruk macto (ire),light blue,ALWAYS A CLASSIC (CAN),56,tolga yildiz,AHMET HAŞİM AGAR,hali̇l dülger,30.7,7,47,105.16
2024-01-25,İzmir,1,6,ANGEL OF THE SOUTH,SK,4,f,LION HEART (USA)- CHAPEAU CHIC (USA) / HAT TRICK (JPN),lion heart (usa),chapeau chic (usa),HAT TRICK (JPN),54,hüseyi̇n şi̇mşek,AHMET ALTUNKILIÇ,ali̇ aras zümbüller,46.0,3,0,106.16
2024-01-25,İzmir,1,7,FAST DANCING GIRL,SK,4,f,LION HEART (USA)- MISS ÇAKAR / DIVINE LIGHT* (JPN),lion heart (usa),miss çakar,DIVINE LIGHT* (JPN),56,mehmet gönültaş,ŞÜKRÜ GÜRER,fahretti̇n ceylan,45.25,8,41,107.31
2024-01-25,İzmir,2,1,SUN OF THE SEA,KG DB SK,3,f,AIR VICE MARSHAL (USA)- ANGRY BEAUTIFUL (USA) / ARTIE SCHILLER (USA),air vice marshal (usa),angry beautiful (usa),ARTIE SCHILLER (USA),57,muhammed mi̇r bi̇lgi̇n,DENİZ KURTEL,mehmet kaya,4.05,6,40,105.79
2024-01-25,İzmir,2,2,LOVE ACTION,K DB,3,f,SUPER SAVER (USA)- DURUŞAH / BIN AJWAAD (IRE),super saver (usa),duruşah,BIN AJWAAD (IRE),60,tolga yildiz,HASAN İSPİRLİ,ali̇can öksüzler,6.55,5,45,105.85
2024-01-25,İzmir,2,3,MISS MİRASERTEL,DB SKG SK,3,f,RUN AWAY AND HIDE (USA)- WORSHIP THE MOON (USA) / MALIBU MOON (USA),run away and hide (usa),worship the moon (usa),MALIBU MOON (USA),57,erhan aktuğ,ALİ DOBAK,mahmut zelyurt,6.8,8,40,106.32
