race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_win_value,Horse_starting_box_no,horse_rate,horse_race_degree_seconds
2024-01-01,Bursa,1,1,MY REVERIE,KG K DB,3,f,BLUEGRASS CAT (USA)- LEGALLY INCLUDED (USA) / INCLUDE (USA),bluegrass cat (usa),legally included (usa),INCLUDE (USA),56,tugay alici,NİMET ARİF KURTEL,tamer turan,1.5,1,42,91.26
2024-01-01,Bursa,1,2,NOBLE WOMAN,KG DB SK,3,f,SCARFACE- PROVIDENCE / SRI PEKAN (USA),scarface,providence,SRI PEKAN (USA),58,onur yildiz,AHMET KURT,tuncay pelen,3.75,4,43,93.05
2024-01-01,Bursa,1,3,ÇİSEM SULTAN,KG K DB SGKR,3,f,SMART ROBIN (JPN)- SNOOZY TIMES / ROYAL ABJAR (USA),smart robin (jpn),snoozy times,ROYAL ABJAR (USA),56,seli̇m i̇pek,BÜLENT BAYBURAN,kazim şengel,28.7,3,33,93.17
2024-01-01,Bursa,1,4,OKYANUS GÜZELİ,SKG SK,3,f,SIDNEY'S CANDY (USA)- NURSENA / SCARFACE,sidney's candy (usa),nursena,SCARFACE,56,oğuz eren,DİLEK ÖKTEN,ali̇ riza aydin,14.85,6,39,93.65
2024-01-01,Bursa,1,5,MOUNTAIN LION,DB SK,3,m,LION HEART (USA)- SAN MARINO / SRI PEKAN (USA),lion heart (usa),san marino,SRI PEKAN (USA),57,berkant gökçe,SEMİH KATI,murat türkoğlu,4.55,5,51,94.3
2024-01-01,Bursa,1,6,KING UĞUR,KG DB SK,3,m,PIANO SONATA- DOLPHINE / DOMINO EFFECT,piano sonata,dolphine,DOMINO EFFECT,58,yunus emre yüksel,ALİ OSMAN ARSLAN,sedat koçak,9.9,2,42,97.55
2024-01-01,Bursa,2,1,ÇELİK EFE,K DB,4,m,JOKER- GÜLŞİRİN / SAĞANAK,joker,gülşi̇ri̇n,SAĞANAK,58,mahmut turan,İBRAHİM ÇELİK,kadi̇r turan,6.35,5,27,102.45
2024-01-01,Bursa,2,2,EYLÜLLİZE,KG K DB,4,f,YAKUPBEY- AŞKANA / ODİNHAN,yakupbey,aşkana,ODİNHAN,53,sezer çeli̇k,İBRAHİM YÖNTEM,ferdi̇ kiran,17.5,7,28,103.0
2024-01-01,Bursa,2,3,PARİS ÖZLEMİ,none,4,f,SİLAH- PARİS / DEMİRKAZIK,si̇lah,pari̇s,DEMİRKAZIK,56,çeti̇n ok,MUHAMMET YAĞMURLU,eylem gün güneş,21.95,8,0,103.56
2024-01-01,Bursa,2,4,HAS TARKAN,KG K,4,m,BİLGİN- TACİSERİM / AYABAKAN,bi̇lgi̇n,taci̇seri̇m,AYABAKAN,56,yunus emre yüksel,HAKKI TARIK DİKENCİK,melek özgül,1.75,4,33,103.79
2024-01-01,Bursa,2,5,COŞDUR,KG DB SK,4,m,COŞARTAY- DURAK / DEMİRKAZIK,coşartay,durak,DEMİRKAZIK,58,mehmet akyavuz,ÖMER ALTIN,mi̇kai̇l altin,6.35,9,31,103.8
2024-01-01,Bursa,2,6,ALAGÖZLÜM,KG K,4,f,KAYAYÜREKLİ- ÇITIRKIZ / BİLGİN,kayayürekli̇,çitirkiz,BİLGİN,56,tugay alici,ABDULLAH ALAGÖZ,i̇smai̇l alpuğur,14.85,3,27,104.66
2024-01-01,Bursa,2,7,İSKİLİP ŞAHI,KG,4,m,BİLGİN- MAHMURKIZ / SERGEN,bi̇lgi̇n,mahmurkiz,SERGEN,58,oğuz eren,KENAN ELALDI,kenan elaldi,37.95,2,0,108.28
2024-01-01,Bursa,2,8,TAARUZ,none,4,m,JOKER- GÜNEBAKIŞ / BERKAYBEY,joker,günebakiş,BERKAYBEY,55,cem altun,MUHAMMET YAĞMURLU,eylem gün güneş,21.95,6,11,110.09
2024-01-01,Bursa,2,9,PINAR AĞASI,KG DB,4,m,YÜREKKAYA- İZMİRGÜLÜ / DAĞHANBEY,yürekkaya,i̇zmi̇rgülü,DAĞHANBEY,58,hüseyi̇n turan,EKREM BİRDEN,toros kiyas,3.75,1,37,110.8
2024-01-01,Bursa,3,1,CANIM İLAYDA,KG K,3,f,LION HEART (USA)- ALYA / KANEKO,lion heart (usa),alya,KANEKO,55,ali̇ yildiz,MEHMET SARP,şahi̇n akduman,1.85,3,57,77.02
2024-01-01,Bursa,3,2,HIGH VOLUME,K DB,3,f,FLY BY ME- RIJA (IRE) / LION HEART (USA),fly by me,rija (ire),LION HEART (USA),55,tugay alici,KEMAL KURT,sergen gökçe,1.85,4,41,77.57
2024-01-01,Bursa,3,3,SPECTRE GIRL,KG DB SK,3,f,TOCCET (USA)- AKYAKALIKIZ / PRESSING (IRE),toccet (usa),akyakalikiz,PRESSING (IRE),51,çağlar taşci,CANER ARIK,serhat önder,5.9,5,40,77.66
2024-01-01,Bursa,3,4,SNOW QUEEN,K,3,f,JUNGLE MAN- CRESSIDA / MENDIP (USA),jungle man,cressida,MENDIP (USA),53,yunus emre yüksel,HÜSEYİN CAN,ci̇han yi̇ği̇t,16.05,1,22,78.76
2024-01-01,Bursa,3,5,İSKENDERUNLU SUAT,KG DB SK,3,f,BULDUM BAK- SUATIN KIZI / WEST BY WEST (USA),buldum bak,suatin kizi,WEST BY WEST (USA),53,sezer çeli̇k,DİLEK BURAN,sabri̇ arslan,23.05,2,0,80.36
2024-01-01,Bursa,4,1,DÜNDARZADE,KG K,5,m,KAIZBERT (RU)- SİBELİN KIZI / HABERBATUR,kaizbert (ru),si̇beli̇n kizi,HABERBATUR,57,tolga yildiz,MERT ÇELİK,serhat önder,2.65,1,92,142.75
2024-01-01,Bursa,4,2,HIZLI EMEL,KG DB SK,5,m,HIZLITAY- EMEL HALA / BEYEFENDİ,hizlitay,emel hala,BEYEFENDİ,57,hali̇l kaplan,CÜNEYT YILDIZHAN,veli̇ akbulut,4.25,5,85,143.23
2024-01-01,Bursa,4,3,SİNOPLU MERVE,KG,8,f,BİLGİN- SÜBEYHİKIZI / ÖZGÜNHAN,bi̇lgi̇n,sübeyhi̇kizi,ÖZGÜNHAN,55,onur yildiz,HAKKI TARIK DİKENCİK,melek özgül,3.0,2,95,143.26
2024-01-01,Bursa,4,4,EYMENAĞA,KG DB SK,7,m,KARAKEMAL- ZÜMRANUR / DEMİRKIR,karakemal,zümranur,DEMİRKIR,57,ali̇ yildiz,MEHMET SARP,şahi̇n akduman,14.55,4,84,143.87
2024-01-01,Bursa,4,5,ŞAHSEKİN,none,6,m,FAZIL AĞA- KORKUT ELİF / RİKARDO,fazil ağa,korkut eli̇f,RİKARDO,55,kaancan gökçe,CAHİT SEKİN,dilşa kaya,14.45,7,81,143.96
2024-01-01,Bursa,4,6,ERDOĞDU,KG SK,7,m,HIZLITAY- MAHARET / TIKI TORK KU (US),hizlitay,maharet,TIKI TORK KU (US),57,onur atmaca,DİLEK BURAN,sabri̇ arslan,6.6,6,86,148.25
2024-01-01,Bursa,4,7,FIRAT BABA,DB,7,m,TOŞUR- AYA BENZER / YALAZ,toşur,aya benzer,YALAZ,57,mehmet akyavuz,ALPAY DEMİREL,i̇lyas canpolat,12.5,8,84,149.03
2024-01-01,Bursa,4,8,HAVZALI,KG DB SK,7,f,ÖZHABER- NURHANIM / BAMKA.3,özhaber,nurhanim,BAMKA.3,55,sezer çeli̇k,RECEP KETME,dilşa kaya,32.15,3,65,156.92
2024-01-01,Bursa,5,1,ISLAND BREEZE,KG K DB,4,m,INVINCIBLE SON (IRE)- ISLAND QUEST (USA) / CAPE BLANCO (IRE),invincible son (ire),island quest (usa),CAPE BLANCO (IRE),57,seli̇m i̇pek,AHMET GEÇGEL,ekrem çi̇lek,2.8,1,45,82.03
2024-01-01,Bursa,5,2,ÇAVDARLI,DB SKG SK,4,m,SALVATORE- RUZİ / KANEKO,salvatore,ruzi̇,KANEKO,63,ali̇ yildiz,METİN AKAN,serhat önder,12.55,6,57,82.71
2024-01-01,Bursa,5,3,TIROL HOPE,KG DB SK,4,f,BOSPORUS (IRE)- HOPE / SEA HERO (USA),bosporus (ire),hope,SEA HERO (USA),53,sercan tirpan,BURCU KUTLU,meli̇h mehmet i̇nal,7.1,3,37,82.84
2024-01-01,Bursa,5,4,FORTUNELLO,SKG SK,5,m,SMART ROBIN (JPN)- SPIRA (IRE) / SADLER'S WELLS (USA),smart robin (jpn),spira (ire),SADLER'S WELLS (USA),59,zülfükar karabulut,SELİN DİKENCİK,melek özgül,7.05,5,49,82.95
2024-01-01,Bursa,5,5,ASİL UTKU,K,4,m,MENDIP (USA)- BLOOMY / LUXOR,mendip (usa),bloomy,LUXOR,58,akin sözen,CUMA YILDIRIM,emrah çukurkaş,2.9,9,48,83.33
2024-01-01,Bursa,5,6,STORM RUNNER,KG SK,4,m,MENDIP (USA)- SUN STORM / ROYAL ABJAR (USA),mendip (usa),sun storm,ROYAL ABJAR (USA),58,cem altun,RUBİL GÖKÜZÜM,çeti̇n özdi̇l,9.05,8,51,84.49
2024-01-01,Bursa,5,7,RAKHSH,DB SKG SK,4,m,DUTYFREE- FLYING BEAUTY / ROYAL ABJAR (USA),dutyfree,flying beauty,ROYAL ABJAR (USA),54,onur atmaca,HASAN ESAT PALAZ,yüksel taluk,28.15,2,39,86.38
2024-01-01,Bursa,5,8,BEKRİ,K DB,7,m,OĞLUMEMRE- MENGENLİ KIZ / RIVER SPECIAL (USA),oğlumemre,mengenli̇ kiz,RIVER SPECIAL (USA),55,tugay alici,DİLEK BURAN,sabri̇ arslan,9.9,7,39,87.36
2024-01-01,Bursa,5,9,POWER RHTYM,DB SKG SK,6,m,INVINCIBLE SON (IRE)- AFRICAN SUNDANCE (USA) / JOHANNESBURG (USA),invincible son (ire),african sundance (usa),JOHANNESBURG (USA),53,çeti̇n canpolat,EREN UĞUR,i̇smai̇l alpuğur,33.3,4,35,90.47
2024-01-01,Bursa,6,1,MUST,DB SKG SK,4,m,LION HEART (USA)- GRADIVA (USA) / GRAND SLAM* (USA),lion heart (usa),gradiva (usa),GRAND SLAM* (USA),55,akin sözen,HALE HÜLYA ILGAZLI,gazanfer toklu,2.05,2,73,87.87
2024-01-01,Bursa,6,2,MITTELMEER,KG K,5,m,TOROK (IRE)- ROYA / MOUNTAIN CAT (USA),torok (ire),roya,MOUNTAIN CAT (USA),56,onur yildiz,MEHMET NABİ DEMİRKOL,kazim şengel,6.4,6,69,87.99
2024-01-01,Bursa,6,3,KING OF SOLID,DB SKG SK,6,m,MARCAVELLY (USA)- LITTLE RIVER / ROYAL ABJAR (USA),marcavelly (usa),little river,ROYAL ABJAR (USA),56,tugay alici,ABDULLAH ALAGÖZ,i̇smai̇l alpuğur,16.0,4,61,88.62
2024-01-01,Bursa,6,4,AIRFIELD,KG DB,4,m,DEĞİRMENDERELİ- AAPIN / BAŞPİLOT,deği̇rmendereli̇,aapin,BAŞPİLOT,52,cem altun,GÜVEN ŞAHLI,ferdi̇ kiran,3.5,1,70,89.03
2024-01-01,Bursa,6,5,ÇAYIRAĞASI,KG K DB,5,m,EL CORREDOR (USA)- NURSENA / SCARFACE,el corredor (usa),nursena,SCARFACE,56,mahmut turan,DİLEK ÖKTEN,ali̇ riza aydin,4.0,5,74,89.2
2024-01-01,Bursa,6,6,KAPTAN CEM,KG K DB,6,m,OĞLUMEMRE- ÖZENKIZ / MOUNTAIN CAT (USA),oğlumemre,özenkiz,MOUNTAIN CAT (USA),53,sezer çeli̇k,DİLEK BURAN,sabri̇ arslan,10.45,7,60,91.08
2024-01-01,Bursa,7,1,MY CENGO,KG K,4,m,ULUER- DOST ELİ / GÜNDENİZ,uluer,dost eli̇,GÜNDENİZ,62,hali̇l kaplan,GÖRKEM GEDİKOĞLU,ömer yildirim,2.25,9,37,100.44
2024-01-01,Bursa,7,2,TRAPPER,KG DB,4,m,KOPUZ- MESOPOTAMİA / İBOCAN,kopuz,mesopotami̇a,İBOCAN,58,mahmut turan,ERSEN BÜYÜKTÜRKLER,volkan yüksel,7.35,1,26,100.48
2024-01-01,Bursa,7,3,AYHANBEYİM,KG SK,4,m,SONALP- NEZAHAT / SA'D.27,sonalp,nezahat,SA'D.27,56,zülfükar karabulut,AHMET ALTIN,murat türkoğlu,5.15,2,30,100.87
2024-01-01,Bursa,7,4,EMSALSİZİM,KG DB SK,4,f,UÇARER- EMSALSİZ / HABERBATUR,uçarer,emsalsi̇z,HABERBATUR,56,okan i̇nce,BURCU KUTLU,meli̇h mehmet i̇nal,8.75,7,0,102.3
2024-01-01,Bursa,7,5,TOZ YUTMAZ,KG,4,m,BİLGİN- YEŞİLÇAY / ARASLI,bi̇lgi̇n,yeşi̇lçay,ARASLI,54,kürşat yilmaz,İSMET TURAN,yasemi̇n karaküçük,41.4,5,13,102.56
2024-01-01,Bursa,7,6,ÇAKARMAN,KG K,4,m,BATURŞAH- HAÇÇE / HABERBATUR,baturşah,haççe,HABERBATUR,58,tolga yildiz,MUNİR GÖKÇE,serhat önder,3.1,8,0,103.31
2024-01-01,Bursa,7,7,NAS HANIM,KG K GKR,4,f,KAYAYÜREKLİ- KANİYECAN / YALAZ,kayayürekli̇,kani̇yecan,YALAZ,56,ali̇ yildiz,ŞEFİK ÇELİK,ramazan akduman,20.55,6,23,103.37
2024-01-01,Bursa,7,8,KAYRAHAN BEY,KG,4,m,KARABEDİR- DRAMATİK / ATAK,karabedi̇r,dramati̇k,ATAK,58,çeti̇n ok,EKREM BİRDEN,toros kiyas,35.5,10,12,107.74
2024-01-01,Bursa,7,9,AYABAKIŞ,none,4,f,EFEM- KUTLUAY / TULYAD,efem,kutluay,TULYAD,53,cem altun,MUHAMMET YAĞMURLU,eylem gün güneş,60.95,3,10,107.76
2024-01-01,Bursa,7,10,TEPKİ,K,4,f,JOKER- MANTARKIZI / SAĞANAK,joker,mantarkizi,SAĞANAK,53,sezer çeli̇k,BÜLENT BAYBURAN,ferdi̇ kiran,71.45,4,0,113.99
2024-01-01,Bursa,8,1,GALYAS CANDY,SKG SK,4,f,SIDNEY'S CANDY (USA)- SIGNORINA STELLA / UNACCOUNTED FOR (USA),sidney's candy (usa),signorina stella,UNACCOUNTED FOR (USA),54,ali̇ yildiz,OĞUZ DAĞLAROĞLU,mahmut baykara,3.55,3,68,81.27
2024-01-01,Bursa,8,2,GOD OF LOVE,KG K DB SGKR,4,f,VICTORY GALLOP (CAN)- MISS JUDGE / STRIKE THE GOLD (USA),victory gallop (can),miss judge,STRIKE THE GOLD (USA),55,mehmet akyavuz,MUSA GÜNDÜZELİ,dilşa kaya,1.45,5,84,81.57
2024-01-01,Bursa,8,3,ÖZAY SUZANANA,DB SKG SK,6,f,BOSPORUS (IRE)- WAIT FOR SPRING (USA) / SEEKING THE GOLD (USA),bosporus (ire),wait for spring (usa),SEEKING THE GOLD (USA),55,akin sözen,SEZAİ ÖZKAN,ferhat i̇çsel,5.1,1,67,82.02
2024-01-01,Bursa,8,4,ZİSİNO,DB SKG SK,4,f,WIN RIVER WIN (USA)- NESRİN SULTAN / STRIKE THE GOLD (USA),win river win (usa),nesri̇n sultan,STRIKE THE GOLD (USA),55,tolga yildiz,GAMZE YAZICI,murat esi̇n,12.0,2,69,82.62
2024-01-01,Bursa,8,5,İŞİN ASLI,K DB,8,f,AGRESIVO (USA)- DONT MAKE ME CRY / OKAWANGO (USA),agresivo (usa),dont make me cry,OKAWANGO (USA),55,ali̇can i̇nci̇,BEKTAŞ YILDIRIM,bektaş yildirim,10.3,4,62,83.91
2024-01-01,Bursa,9,1,BERCA TORUNU,SKG SK,5,f,BERKCAN- HEYCAN BİR / SERDARHAN,berkcan,heycan bi̇r,SERDARHAN,54,mahmut turan,RAMAZAN BAĞ,ekrem çi̇lek,13.95,2,30,130.85
2024-01-01,Bursa,9,2,AŞK VE GURUR,KG K,4,f,BAHARŞAH- GÜL FIRTINASI / GÜNCANHAN,baharşah,gül firtinasi,GÜNCANHAN,55,kürşat yilmaz,FATİH TUNCER,reşat kiliç,31.45,1,44,132.11
2024-01-01,Bursa,9,3,LOLAN GÜZELİ,DB,9,f,ÖZDURAN- GÜRGÖZE / ÖZGÜNHAN,özduran,gürgöze,ÖZGÜNHAN,54,ali̇can i̇nci̇,EKREM BİRDEN,toros kiyas,7.25,7,29,132.53
2024-01-01,Bursa,9,4,FADİK,KG SK,8,f,HIZLITAY- ALGUFRE / ALBATUR,hizlitay,algufre,ALBATUR,61,zülfükar karabulut,HAKKI TARIK DİKENCİK,melek özgül,1.85,4,45,132.55
2024-01-01,Bursa,9,5,KUĞU GÜZELİ,DB SKG,11,f,CAŞ- KUĞU / PEGASUS,caş,kuğu,PEGASUS,51,onur yildiz,SELİN DİKENCİK,melek özgül,1.85,6,23,133.23
2024-01-01,Bursa,9,6,TATLIÇAĞ,KG K DB,7,f,ALTAHA- TÜKENMEZ / HÜRBATUR,altaha,tükenmez,HÜRBATUR,60,sezer çeli̇k,DİLEK BURAN,sabri̇ arslan,9.7,9,47,134.03
2024-01-01,Bursa,9,7,NEVESTA,KG DB SK,4,f,CANKARDEŞLER- KOBAT / İZBATUR,cankardeşler,kobat,İZBATUR,57,çeti̇n ok,SERKAN ALSANCAK,ramazan akduman,5.5,5,42,134.18
2024-01-01,Bursa,9,8,BAL PERİSİ,KG K,4,f,ULUER- ASTURBO / TURBO,uluer,asturbo,TURBO,55,sercan tirpan,LEVENT ŞENTÜRK,ali̇ riza aydin,18.3,10,37,136.57
2024-01-01,Bursa,9,9,YEŞİLPINAR,KG SK,5,f,KAIZBERT (RU)- HELENAZ / GOBAKBEY,kaizbert (ru),helenaz,GOBAKBEY,54,hüseyi̇n turan,MUNİR GÖKÇE,serhat önder,17.55,8,36,136.58
2024-01-01,Bursa,9,10,KARAVAŞ,KG DB SK,8,f,BİLGİN- MENENGİÇ / ANTEPLİ,bi̇lgi̇n,menengi̇ç,ANTEPLİ,54,erhan akkaya,FATMA GÜL ALTIN,toros kiyas,19.6,3,35,139.1
2024-01-01,Bursa,9,11,ÖREN HANIM,KG DB SK,5,f,ALTAHA- MİHRİŞAH / SÜLO,altaha,mi̇hri̇şah,SÜLO,55,ali̇ yildiz,ENES DEMİR,kazim şengel,8.75,11,32,140.12
2024-01-02,Adana,1,1,KALBİMDESİN,KG SK,4,f,CANKARDEŞLER- DİLŞEKER / ÖZGÜNHAN,cankardeşler,di̇lşeker,ÖZGÜNHAN,54,ahmet çeli̇k,GÖKHAN YILDIZ,emi̇n karataş,1.25,5,84,97.05
2024-01-02,Adana,1,2,TORUNCALAS,KG K,4,f,SERHANTAY- CANÖZÜM / ANAVARZA,serhantay,canözüm,ANAVARZA,54,mehmet akyavuz,VEHBİ ATEŞ,ramazan taşdelen,3.7,4,68,97.69
2024-01-02,Adana,1,3,IRMAK SU,KG DB SK,4,f,SARRAF- NESİBE ABLA / SAĞANAK,sarraf,nesi̇be abla,SAĞANAK,54,hişman çi̇zi̇k,HASAN BASRİ TÜMÖZ,savaş demi̇r,7.25,7,52,98.49
2024-01-02,Adana,1,4,NİRENGİ,none,4,f,EMBİR HAN- DESERT ROSE / SERTAY,embi̇r han,desert rose,SERTAY,54,mert gökalp arslan,TAYRAL TUTUMLU,şefi̇k aydemi̇r,8.8,1,54,98.56
2024-01-02,Adana,1,5,NEZENGÜL,KG K,4,f,SERHANTAY- PEKŞEKER / TURBO,serhantay,pekşeker,TURBO,53,mehmet nuri̇ sunkar,İSMAİL ULAŞ,burak i̇lvan,17.4,6,61,100.04
2024-01-02,Adana,1,6,HAYATIMINCANI,KG SK,4,f,ŞİMŞEĞİNOĞLU- MERCAN SULTAN / BOZDAĞ,şi̇mşeği̇noğlu,mercan sultan,BOZDAĞ,54,burhan kilinç,MEHMET DOĞAN,ramazan taşdelen,26.0,3,37,100.6
2024-01-02,Adana,1,7,BALLIYARIM,K,4,f,KAIZBERT (RU)- FAYHATTI / AYABAKAN,kaizbert (ru),fayhatti,AYABAKAN,54,ni̇zametti̇n demi̇r,ATALAY TURAN,ergün çeti̇nkurt,18.35,2,38,101.22
2024-01-02,Adana,2,1,GHOST CAT,KG DB SK,4,m,MEHMET BORA- BALERİNA / MOUNTAIN CAT (USA),mehmet bora,baleri̇na,MOUNTAIN CAT (USA),57,müslüm çeli̇k,OSMAN GÜLLÜ,sei̇t kan,4.5,1,70,121.85
2024-01-02,Adana,2,2,SPEED LANE,KG SK,4,m,WIENER WALZER (GER)- FAST LANE / DILUM (USA),wiener walzer (ger),fast lane,DILUM (USA),55,mehmet nuri̇ sunkar,M.VEHBİ KARAHAN AYAS,soner kulak,2.25,4,71,123.24
2024-01-02,Adana,2,3,JONAH HEX,KG DB SK,5,m,WIN RIVER WIN (USA)- CYBELE / ROYAL ABJAR (USA),win river win (usa),cybele,ROYAL ABJAR (USA),61,ahmet çeli̇k,AHMET İSTANBULLU,kemal savaş mucur,18.8,8,75,123.37
2024-01-02,Adana,2,4,SHARP GLASS,DB SKG SK,4,m,SHARP KNIFE (USA)- GLASS PATH (USA) / EL CORREDOR (USA),sharp knife (usa),glass path (usa),EL CORREDOR (USA),59,hişman çi̇zi̇k,GÜLSEREN ÖZKAN,şefi̇k aydemi̇r,12.45,5,75,123.6
2024-01-02,Adana,2,5,FALCON OF MUTAFLAR,K DB SKG,4,m,FAST 'N' FAMOUS (AUS)- APPEL CANDY / PERFECT STORM,fast 'n' famous (aus),appel candy,PERFECT STORM,56,mehmet keski̇n,DİNÇER MUTLU,yasi̇n polat,13.6,7,69,124.89
2024-01-02,Adana,2,6,LEBRON,DB SK,6,m,WIENER WALZER (GER)- THEMIS / CELTIC SWING (GB),wiener walzer (ger),themis,CELTIC SWING (GB),59,mustafa kemal kumbasar,ÇAĞLAR ÖZDİL,ayhan di̇nç,14.55,3,70,125.59
2024-01-02,Adana,2,7,RABITELLİ,KG SK,5,m,SMART ROBIN (JPN)- GÜLŞAH HANIM / MUJTAHID (USA),smart robin (jpn),gülşah hanim,MUJTAHID (USA),60,fati̇h sultan mehmet sansar,EROL URAL,adem güven,41.0,2,78,127.05
2024-01-02,Adana,2,8,KUMTEPER,KG DB SK,4,m,PAPA CLEM (USA)- CHARMANT / DEHERE (USA),papa clem (usa),charmant,DEHERE (USA),57,mert ali̇ solmaz,İHSAN ERTEN,bünyami̇n polat,9.2,6,71,127.27
2024-01-02,Adana,2,9,SPEED HANNER,DB SKG SK,4,m,SPEEDY WOLF- MAGIC TAYLOR / ALWAYS A CLASSIC (CAN),speedy wolf,magic taylor,ALWAYS A CLASSIC (CAN),61,ayhan kurşun,FİRDES KARAÖRS,mustafa atal,14.5,9,78,128.69
2024-01-02,Adana,3,1,SPAS,DB SK,4,f,CAPTAIN RIO (GB)- ALAZIM / DEHERE (USA),captain rio (gb),alazim,DEHERE (USA),54,müslüm çeli̇k,HAYRETTİN KARAMAZI,yaşar demi̇r,2.9,5,78,80.81
2024-01-02,Adana,3,2,ÇİLKELEŞ,none,5,f,MAXIMUS DREAM- BELOVED / YONAGUSKA (USA),maximus dream,beloved,YONAGUSKA (USA),55,hişman çi̇zi̇k,SEMRA ERKUŞ,meti̇n gülendaği,6.05,4,80,81.77
2024-01-02,Adana,3,3,LAST TULIP,KG K,4,f,RED GIANT (USA)- HAYATIM / INDIGO RED (GB),red giant (usa),hayatim,INDIGO RED (GB),54,mehmet akyavuz,YILMAZ ARİ,ramazan taşdelen,5.7,1,77,81.97
2024-01-02,Adana,3,4,ANADOLU EDASI,DB SK,5,f,MENDIP (USA)- SHE MOLF / LION HEART (USA),mendip (usa),she molf,LION HEART (USA),55,ahmet çeli̇k,FEHMİ İLERİ,ayhan di̇nç,4.9,3,70,82.15
2024-01-02,Adana,3,5,FİLYOS,DB SK,4,f,KING DAVID (USA)- FORGIVENESS / SRI PEKAN (USA),king david (usa),forgiveness,SRI PEKAN (USA),54,ayhan kurşun,SANEM KAHRAMAN,mücahi̇t kaya,3.4,6,74,83.06
2024-01-02,Adana,3,6,DEMİR ATAŞ,DB SK,5,f,BOSPORUS (IRE)- SOLITAIRE / ROYAL ABJAR (USA),bosporus (ire),solitaire,ROYAL ABJAR (USA),55,mert ali̇ solmaz,DAVUT SERHAN TAŞKIN,i̇smet teki̇nalp,3.75,2,68,84.48
2024-01-02,Adana,4,1,MAHALL,KG SK,3,f,MYBOYCHARLIE (IRE)- KILL BILL / THREE VALLEYS (USA),myboycharlie (ire),kill bill,THREE VALLEYS (USA),54,ahmet çeli̇k,AYTEKİN ŞEN,kemal savaş mucur,6.95,3,46,82.44
2024-01-02,Adana,4,2,HET SCHIP,SK,3,f,SUPER SAVER (USA)- YEŞİLMİŞİK / UNACCOUNTED FOR (USA),super saver (usa),yeşi̇lmi̇şi̇k,UNACCOUNTED FOR (USA),54,ayhan kurşun,EMİR ALKAŞ,nurullah esen,6.15,4,62,82.59
2024-01-02,Adana,4,3,POINT OF INFINITY,DB,3,f,SUPER SAVER (USA)- SAHARA SKY / DEHERE (USA),super saver (usa),sahara sky,DEHERE (USA),54,hişman çi̇zi̇k,İSMAİL HADİOĞLU,bünyami̇n polat,8.45,2,50,82.63
2024-01-02,Adana,4,4,PEKERİM,K DB,3,f,BODEMEISTER (USA)- BATMACI / WIN RIVER WIN (USA),bodemeister (usa),batmaci,WIN RIVER WIN (USA),54,fati̇h rüstem bebek,KADER BATMACI,faruk seri̇ntürk,1.15,5,65,83.03
2024-01-02,Adana,4,5,SEHERİN YELİ,KG K,3,f,APPROVE (IRE)- VEDRANA / SRI PEKAN (USA),approve (ire),vedrana,SRI PEKAN (USA),54,müslüm çeli̇k,MEHMET VEYSİ BECENE,sali̇h becene,6.75,1,61,83.1
2024-01-02,Adana,5,1,JOUSKA,K,3,f,MENDIP (USA)- KIZIM HİRA / BOSPORUS (IRE),mendip (usa),kizim hi̇ra,BOSPORUS (IRE),56,hişman çi̇zi̇k,KENAN BAŞBOĞA,hali̇l i̇brahi̇m akçay,5.5,5,26,90.12
2024-01-02,Adana,5,2,KOSMODEMYANSKAYA,KG K DB,3,f,LION HEART (USA)- REAL QUATRO / COUNTRY REEL (USA),lion heart (usa),real quatro,COUNTRY REEL (USA),56,mert ali̇ solmaz,ŞEVKET BERBEROĞLU,emi̇n karataş,2.2,4,35,91.63
2024-01-02,Adana,5,3,MY BEAUTY,SK,3,f,TOROK (IRE)- AYŞIN SULTAN / YONAGUSKA (USA),torok (ire),ayşin sultan,YONAGUSKA (USA),56,mustafa kemal kumbasar,İBRAHİM HALİL DEMİR,ali̇ güllü,9.85,1,25,91.76
2024-01-02,Adana,5,4,FAST MAN,KG SK,3,m,GÜNGÖR BABA- HYPATIA / BOSPORUS (IRE),güngör baba,hypatia,BOSPORUS (IRE),55,mehmet nuri̇ sunkar,CEMAL DURMAZ,mehmet çeli̇k,6.1,3,38,92.05
2024-01-02,Adana,5,5,ŞAHİN ALP,KG DB SK,3,m,HAKEEM (USA)- MY TITANIUM / LION HEART (USA),hakeem (usa),my titanium,LION HEART (USA),58,müslüm çeli̇k,CAHİT DOĞAN,adem güven,4.35,2,13,92.12
2024-01-02,Adana,5,6,FEDAİ KHAN,SKG SK,3,m,SON OF SUN- KIZIM İLAYDA / LION HEART (USA),son of sun,kizim i̇layda,LION HEART (USA),56,azi̇z akdemi̇r,MEHMET CAN ÇİZİK,mehmet kazi̇m çi̇zi̇k,4.0,6,28,92.16
2024-01-02,Adana,6,1,KILIÇ İBO,KG SK,4,m,KAIZBERT (RU)- ELİFKIZ / DEVİRHAN,kaizbert (ru),eli̇fkiz,DEVİRHAN,56,ahmet çeli̇k,ALİ RIZA KÖSEALİ,servet bi̇ni̇ci̇,1.6,7,77,98.13
